GNRs Volume (ml),CTAB Concentration (mM),TEOS Volume (μl),TEOS Concentration (vol%),TEOS Solvent,NaOH Concentration (M),Stirring Speed,Interval Time (min),Reaction  Volume (ml),Aging Time (h),Shell
20,10,156,0.25,乙醇,0.1,1,30,15,12,0
20,1,112,0.25,乙醇,0.1,1,30,15,12,0
19,2,125,0.25,乙醇,0.1,1,30,15,12,1
19,2,160,0.25,乙醇,0.1,1,30,15,12,1
14,2,58,0.25,乙醇,0.1,1,30,15,12,0
12,5,81,0.25,乙醇,0.1,1,30,15,12,0
12,6,175,0.25,乙醇,0.1,1,30,15,12,0
20,10,136,0.25,乙醇,0.1,1,30,15,12,0
12,6,182,0.25,乙醇,0.1,1,30,15,12,0
15,1,177,0.25,乙醇,0.1,1,30,15,12,1
12,4,135,0.25,乙醇,0.1,1,30,15,12,0
19,6,100,0.25,乙醇,0.1,1,30,15,12,0
20,8,90,0.25,乙醇,0.1,1,30,15,12,0
15,7,113,0.25,乙醇,0.1,1,30,15,12,0
20,4,135,0.25,乙醇,0.1,1,30,15,12,
11,3,200,0.25,乙醇,0.1,1,30,15,12,0
19,10,74,0.25,乙醇,0.1,1,30,15,12,0
10,4,185,0.25,乙醇,0.1,1,30,15,12,1
14,9,83,0.25,乙醇,0.1,1,30,15,12,0
12,5,65,0.25,乙醇,0.1,1,30,15,12,
15,6,120,0.25,乙醇,0.1,1,30,15,12,
11,10,174,0.25,乙醇,0.1,1,30,15,12,
10,6,92,0.25,乙醇,0.1,1,30,15,12,
18,10,113,0.25,乙醇,0.1,1,30,15,12,
12,3,199,0.25,乙醇,0.1,1,30,15,12,0
20,5,192,0.25,乙醇,0.1,1,30,15,12,0
16,4,86,0.25,乙醇,0.1,1,30,15,12,0
19,9,110,0.25,乙醇,0.1,1,30,15,12,0
20,5,152,0.25,乙醇,0.1,1,30,15,12,0
10,2,50,0.25,乙醇,0.1,1,30,15,12,
10,4,50,0.25,乙醇,0.1,1,30,15,12,
10,6,50,0.25,乙醇,0.1,1,30,15,12,
10,8,50,0.25,乙醇,0.1,1,30,15,12,0
10,10,50,0.25,乙醇,0.1,1,30,15,12,0
10,2,100,0.25,乙醇,0.1,1,30,15,12,0
10,4,100,0.25,乙醇,0.1,1,30,15,12,1
10,6,100,0.25,乙醇,0.1,1,30,15,12,0
10,8,100,0.25,乙醇,0.1,1,30,15,12,0
10,10,100,0.25,乙醇,0.1,1,30,15,12,0
10,2,150,0.25,乙醇,0.1,1,30,15,12,1
10,4,150,0.25,乙醇,0.1,1,30,15,12,
10,6,150,0.25,乙醇,0.1,1,30,15,12,0
10,8,150,0.25,乙醇,0.1,1,30,15,12,0
10,10,150,0.25,乙醇,0.1,1,30,15,12,0
10,12,50,0.25,乙醇,0.1,1,30,15,12,0
10,14,50,0.25,乙醇,0.1,1,30,15,12,0
10,16,50,0.25,乙醇,0.1,1,30,15,12,0
10,18,50,0.25,乙醇,0.1,1,30,15,12,0
10,20,50,0.25,乙醇,0.1,1,30,15,12,0
20,2,100,0.25,乙醇,0.1,1,30,15,12,0
20,4,100,0.25,乙醇,0.1,1,30,15,12,0
20,6,100,0.25,乙醇,0.1,1,30,15,12,0
20,8,100,0.25,乙醇,0.1,1,30,15,12,0
20,10,100,0.25,乙醇,0.1,1,30,15,12,0
10,2,100,0.25,乙醇,0.1,1,30,15,12,0
20,12,50,0.25,乙醇,0.1,1,30,15,12,0
15,6,50,0.25,乙醇,0.1,1,30,15,12,0
15,8,50,0.25,乙醇,0.1,1,30,15,12,0
15,10,50,0.25,乙醇,0.1,1,30,15,12,0
10,2,200,0.25,乙醇,0.1,1,30,15,12,0
10,4,200,0.25,乙醇,0.1,1,30,15,12,0
10,6,200,0.25,乙醇,0.1,1,30,15,12,0
10,8,200,0.25,乙醇,0.1,1,30,15,12,0
10,10,200,0.25,乙醇,0.1,1,30,15,12,0
10,2,250,0.25,乙醇,0.1,1,30,15,12,0
10,4,250,0.25,乙醇,0.1,1,30,15,12,0
10,6,250,0.25,乙醇,0.1,1,30,15,12,0
10,8,250,0.25,乙醇,0.1,1,30,15,12,0
10,10,250,0.25,乙醇,0.1,1,30,15,12,0
20,14,50,0.25,乙醇,0.1,1,30,15,12,0
20,16,50,0.25,乙醇,0.1,1,30,15,12,0
20,12,100,0.25,乙醇,0.1,1,30,15,12,0
20,14,300,0.25,乙醇,0.1,1,30,15,12,0
20,16,100,0.25,乙醇,0.1,1,30,15,12,0
20,18,100,0.25,乙醇,0.1,1,30,15,12,0
20,20,100,0.25,乙醇,0.1,1,30,15,12,0
10,2,300,0.25,乙醇,0.05,1,30,15,12,1
10,4,300,0.25,乙醇,0.05,1,30,15,12,0
10,6,300,0.25,乙醇,0.05,1,30,15,12,0
10,8,300,0.25,乙醇,0.05,1,30,15,12,0
10,10,300,0.25,乙醇,0.05,1,30,15,12,
10,2,300,0.25,乙醇,0.025,1,30,15,12,0
10,4,300,0.25,乙醇,0.025,1,30,15,12,0
10,6,300,0.25,乙醇,0.025,1,30,15,12,0
10,8,300,0.25,乙醇,0.025,1,30,15,12,0
10,10,300,0.25,乙醇,0.025,1,30,15,12,0
10,2,300,0.25,乙醇,0.1,1,30,15,12,1
10,4,300,0.25,乙醇,0.1,1,30,15,12,0
10,6,300,0.25,乙醇,0.1,1,30,15,12,0
10,8,300,0.25,乙醇,0.1,1,30,15,12,0
10,10,300,0.25,乙醇,0.1,1,30,15,12,0
